pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
1,mix,Mix_AT_ET ,1,Mix_2AT_1ET 1,PRSE-PRSE-QURU,1,PRSE,2024-07-13,3.41,3.02,3.2,41.0,,2024-07-25,4.74,4.03,4.4,45.5,2024-08-22,5.18,5.67,5.4,52.5,,,,,0.0,
1,mix,Mix_AT_ET ,1,Mix_2AT_1ET 1,PRSE-PRSE-QURU,2,PRSE,2024-07-13,2.73,3.32,3.0,42.0,,2024-07-25,3.23,4.11,3.7,42.5,2024-08-22,3.64,3.71,3.7,45.0,,,,,0.0,
1,mix,Mix_AT_ET ,1,Mix_2AT_1ET 1,PRSE-PRSE-QURU,3,QURU,2024-07-13,4.22,4.17,4.2,14.5,,2024-07-25,4.31,5.03,4.7,17.5,2024-08-22,4.60,5.29,4.9,16.0,,,,,0.0,
2,mono,M_AT ,1,M_AT 1,PRSE-PRSE-PRSE,1,PRSE,2024-07-13,3.43,3.47,3.5,34.5,,2024-07-25,4.27,4.60,4.4,40.0,2024-08-22,6.26,5.39,5.8,53.0,,,,,0.0,
2,mono,M_AT ,1,M_AT 1,PRSE-PRSE-PRSE,2,PRSE,2024-07-13,3.84,3.70,3.8,32.0,,2024-07-25,4.02,4.22,4.1,39.5,2024-08-22,5.63,5.74,5.7,43.0,,,,,0.0,
2,mono,M_AT ,1,M_AT 1,PRSE-PRSE-PRSE,3,PRSE,2024-07-13,3.76,3.69,3.7,35.0,,2024-07-25,5.12,4.35,4.7,41.0,2024-08-22,6.91,7.38,7.1,59.0,,,,,0.0,
3,mix,Mix_AT_EI ,1,Mix_2AT_1EI 1,PIST-PRSE-PRSE,1,PRSE,2024-07-13,3.33,3.56,3.4,43.0,,2024-07-25,4.40,5.10,4.8,48.5,2024-08-22,6.13,5.42,5.8,50.5,,,,,0.0,
3,mix,Mix_AT_EI ,1,Mix_2AT_1EI 1,PIST-PRSE-PRSE,2,PRSE,2024-07-13,2.20,2.50,2.4,29.0,,2024-07-25,3.03,3.69,3.4,29.0,2024-08-22,3.84,3.73,3.8,30.5,,,,,0.0,
3,mix,Mix_AT_EI ,1,Mix_2AT_1EI 1,PIST-PRSE-PRSE,3,PIST,2024-07-13,3.94,3.95,3.9,20.5,,2024-07-25,3.50,3.97,3.7,20.0,2024-08-22,3.79,4.01,3.9,20.5,,,,,0.0,
4,mono,M_EI ,1,M_EI 1,PIST-PIST-PIST,1,PIST,2024-07-13,3.36,3.35,3.4,12.5,,2024-07-25,3.21,3.77,3.5,13.0,2024-08-22,3.58,3.42,3.5,13.0,,,,,0.0,
4,mono,M_EI ,1,M_EI 1,PIST-PIST-PIST,2,PIST,2024-07-13,3.44,3.58,3.5,15.5,,2024-07-25,4.18,3.89,4.0,15.5,2024-08-22,3.60,3.24,3.4,13.5,,,,,0.0,
4,mono,M_EI ,1,M_EI 1,PIST-PIST-PIST,3,PIST,2024-07-13,3.85,3.98,3.9,21.5,,2024-07-25,4.36,4.31,4.3,21.0,2024-08-22,4.61,4.46,4.5,22.5,,,,,0.0,
5,mix,AM_AT_AT ,1,AM_2AT_1AT 1,ACSA-PRSE-PRSE,1,ACSA,2024-07-13,1.90,1.91,1.9,7.0,,2024-07-25,1.66,2.17,1.9,10.0,2024-08-22,1.37,1.55,1.5,7.0,,,,,0.0,
5,mix,AM_AT_AT ,1,AM_2AT_1AT 1,ACSA-PRSE-PRSE,2,PRSE,2024-07-13,2.02,1.99,2.0,9.5,"top is dead, measured to tallest living apical meristem",2024-07-25,2.36,2.69,2.5,12.5,2024-08-22,2.36,2.51,2.4,16.5,,,,,0.0,
5,mix,AM_AT_AT ,1,AM_2AT_1AT 1,ACSA-PRSE-PRSE,3,PRSE,2024-07-13,2.25,2.23,2.2,26.5,,2024-07-25,3.09,3.22,3.2,29.0,2024-08-22,3.68,3.73,3.7,29.5,,,,,0.0,
